pid,event,time,time2,num_age,fac_fin,fac_race,fac_wexp,fac_mar,fac_paro,fac_prio,fac_educ,fac_emp
33,0,6,9,42,yes,black,yes,not married,no,0,5,0
33,0,9,29,42,yes,black,yes,not married,no,0,5,1
33,0,29,52,42,yes,black,yes,not married,no,0,5,0
34,0,0,15,23,no,black,yes,married,no,2,4,0
34,0,15,18,23,no,black,yes,married,no,2,4,1
34,0,18,41,23,no,black,yes,married,no,2,4,0
34,0,41,51,23,no,black,yes,married,no,2,4,1
34,0,51,52,23,no,black,yes,married,no,2,4,0
35,0,0,4,24,no,black,yes,not married,no,3,4,0
35,0,4,52,24,no,black,yes,not married,no,3,4,1
36,0,0,2,20,yes,black,yes,not married,yes,2,3,0
36,0,2,6,20,yes,black,yes,not married,yes,2,3,1
36,0,6,10,20,yes,black,yes,not married,yes,2,3,0
36,0,10,15,20,yes,black,yes,not married,yes,2,3,1
36,0,15,20,20,yes,black,yes,not married,yes,2,3,0
36,1,20,50,20,yes,black,yes,not married,yes,2,3,1
37,0,0,19,22,no,black,yes,not married,yes,5,3,1
37,0,19,26,22,no,black,yes,not married,yes,5,3,0
37,0,26,35,22,no,black,yes,not married,yes,5,3,1
37,0,35,52,22,no,black,yes,not married,yes,5,3,0
38,0,0,19,27,no,black,yes,not married,no,2,3,0
38,0,19,23,27,no,black,yes,not married,no,2,3,1
38,0,23,39,27,no,black,yes,not married,no,2,3,0
38,0,39,52,27,no,black,yes,not married,no,2,3,1
39,0,0,2,19,yes,black,no,not married,no,4,3,1
39,0,2,52,19,yes,black,no,not married,no,4,3,0
40,0,0,52,28,no,black,yes,not married,yes,3,3,0
41,0,0,1,33,yes,black,yes,married,no,9,3,0
41,0,1,6,33,yes,black,yes,married,no,9,3,1
41,0,6,13,33,yes,black,yes,married,no,9,3,0
41,0,13,20,33,yes,black,yes,married,no,9,3,1
41,0,20,28,33,yes,black,yes,married,no,9,3,0
41,0,28,47,33,yes,black,yes,married,no,9,3,1
41,0,47,52,33,yes,black,yes,married,no,9,3,0
42,0,0,20,24,no,black,yes,not married,yes,1,4,0
42,0,20,28,24,no,black,yes,not married,yes,1,4,1
42,0,28,52,24,no,black,yes,not married,yes,1,4,0
43,0,0,6,21,no,black,no,not married,yes,14,3,0
43,1,6,10,21,no,black,no,not married,yes,14,3,1
44,0,0,3,22,no,black,no,not married,yes,2,3,0
44,0,3,11,22,no,black,no,not married,yes,2,3,1
44,0,11,30,22,no,black,no,not married,yes,2,3,0
44,0,30,52,22,no,black,no,not married,yes,2,3,1
45,0,0,12,19,yes,black,no,not married,yes,2,4,0
45,0,12,18,19,yes,black,no,not married,yes,2,4,1
45,0,18,52,19,yes,black,no,not married,yes,2,4,0
46,0,0,17,22,yes,black,no,not married,no,2,4,0
46,0,17,52,22,yes,black,no,not married,no,2,4,1
47,0,0,15,22,yes,black,no,not married,no,15,3,0
47,0,15,35,22,yes,black,no,not married,no,15,3,1
47,0,35,42,22,yes,black,no,not married,no,15,3,0
47,0,42,46,22,yes,black,no,not married,no,15,3,1
47,0,46,52,22,yes,black,no,not married,no,15,3,0
48,0,0,2,23,yes,black,yes,not married,yes,5,3,0
48,0,2,5,23,yes,black,yes,not married,yes,5,3,1
48,0,5,7,23,yes,black,yes,not married,yes,5,3,0
48,1,7,20,23,yes,black,yes,not married,yes,5,3,1
49,0,0,3,32,no,black,yes,married,yes,2,2,1
49,0,3,12,32,no,black,yes,married,yes,2,2,0
49,0,12,52,32,no,black,yes,married,yes,2,2,1
50,0,0,8,27,yes,black,yes,not married,yes,0,4,0
50,0,8,52,27,yes,black,yes,not married,yes,0,4,1
51,0,0,1,36,yes,black,yes,not married,no,0,3,0
51,0,1,52,36,yes,black,yes,not married,no,0,3,1
52,0,0,3,22,yes,black,yes,not married,yes,1,4,0
52,0,3,13,22,yes,black,yes,not married,yes,1,4,1
52,0,13,52,22,yes,black,yes,not married,yes,1,4,0
53,0,0,2,32,yes,black,yes,not married,yes,1,3,0
53,0,2,3,32,yes,black,yes,not married,yes,1,3,1
53,0,3,24,32,yes,black,yes,not married,yes,1,3,0
53,0,24,52,32,yes,black,yes,not married,yes,1,3,1
54,1,0,50,19,yes,black,yes,not married,no,10,3,1
55,0,0,5,28,no,black,yes,married,yes,1,5,0
55,0,5,14,28,no,black,yes,married,yes,1,5,1
55,0,14,22,28,no,black,yes,married,yes,1,5,0
55,0,22,52,28,no,black,yes,married,yes,1,5,1
56,0,0,52,32,no,other,yes,not married,no,3,2,0
57,0,0,4,33,no,black,yes,married,yes,1,4,0
57,0,4,11,33,no,black,yes,married,yes,1,4,1
57,0,11,18,33,no,black,yes,married,yes,1,4,0
57,0,18,39,33,no,black,yes,married,yes,1,4,1
57,0,39,52,33,no,black,yes,married,yes,1,4,0
58,0,0,4,26,no,black,no,not married,yes,1,2,0
58,0,4,5,26,no,black,no,not married,yes,1,2,1
58,0,5,29,26,no,black,no,not married,yes,1,2,0
58,0,29,52,26,no,black,no,not married,yes,1,2,1
59,0,0,7,20,yes,black,yes,not married,yes,0,3,0
59,0,7,8,20,yes,black,yes,not married,yes,0,3,1
59,0,8,9,20,yes,black,yes,not married,yes,0,3,0
59,0,9,11,20,yes,black,yes,not married,yes,0,3,1
59,0,11,22,20,yes,black,yes,not married,yes,0,3,0
59,0,22,52,20,yes,black,yes,not married,yes,0,3,1
60,0,0,20,42,yes,black,yes,not married,no,9,4,0
60,0,20,52,42,yes,black,yes,not married,no,9,4,1
61,1,0,6,19,no,black,no,not married,no,6,3,0
62,0,0,6,22,no,black,yes,not married,no,2,4,0
62,0,6,9,22,no,black,yes,not married,no,2,4,1
62,0,9,20,22,no,black,yes,not married,no,2,4,0
62,0,20,33,22,no,black,yes,not married,no,2,4,1
62,0,33,52,22,no,black,yes,not married,no,2,4,0
63,0,0,12,22,no,black,no,not married,yes,5,4,0
63,0,12,16,22,no,black,no,not married,yes,5,4,1
63,0,16,28,22,no,black,no,not married,yes,5,4,0
63,0,28,30,22,no,black,no,not married,yes,5,4,1
63,0,30,52,22,no,black,no,not married,yes,5,4,0
64,0,0,37,36,no,black,no,not married,no,11,3,0
64,0,37,41,36,no,black,no,not married,no,11,3,1
64,0,41,52,36,no,black,no,not married,no,11,3,0
65,0,0,5,23,no,black,yes,not married,no,2,4,0
65,0,5,6,23,no,black,yes,not married,no,2,4,1
65,0,6,39,23,no,black,yes,not married,no,2,4,0
65,0,39,41,23,no,black,yes,not married,no,2,4,1
65,1,41,52,23,no,black,yes,not married,no,2,4,0
66,0,0,2,27,yes,black,yes,not married,yes,3,3,0
66,0,2,20,27,yes,black,yes,not married,yes,3,3,1
66,0,20,46,27,yes,black,yes,not married,yes,3,3,0
66,0,46,52,27,yes,black,yes,not married,yes,3,3,1
67,0,0,17,21,yes,black,no,not married,yes,1,3,0
67,0,17,52,21,yes,black,no,not married,yes,1,3,1
68,0,0,3,22,yes,black,yes,not married,yes,2,3,0
68,0,3,4,22,yes,black,yes,not married,yes,2,3,1
68,0,4,52,22,yes,black,yes,not married,yes,2,3,0
69,0,0,5,35,no,black,yes,not married,yes,3,2,0
69,0,5,8,35,no,black,yes,not married,yes,3,2,1
69,0,8,37,35,no,black,yes,not married,yes,3,2,0
69,0,37,39,35,no,black,yes,not married,yes,3,2,1
69,1,39,49,35,no,black,yes,not married,yes,3,2,0
70,0,0,18,21,no,black,yes,not married,yes,4,3,0
70,0,18,22,21,no,black,yes,not married,yes,4,3,1
70,0,22,52,21,no,black,yes,not married,yes,4,3,0
71,0,0,1,25,yes,black,yes,not married,yes,5,3,0
71,0,1,8,25,yes,black,yes,not married,yes,5,3,1
71,0,8,10,25,yes,black,yes,not married,yes,5,3,0
71,0,10,13,25,yes,black,yes,not married,yes,5,3,1
71,0,13,16,25,yes,black,yes,not married,yes,5,3,0
71,0,16,27,25,yes,black,yes,not married,yes,5,3,1
71,0,27,52,25,yes,black,yes,not married,yes,5,3,0
72,0,0,5,18,no,black,no,not married,yes,0,3,0
72,0,5,13,18,no,black,no,not married,yes,0,3,1
72,0,13,52,18,no,black,no,not married,yes,0,3,0
73,0,0,24,26,yes,black,yes,not married,yes,2,4,0
73,0,24,52,26,yes,black,yes,not married,yes,2,4,1
74,0,0,14,30,no,black,yes,not married,no,4,2,0
74,0,14,43,30,no,black,yes,not married,no,4,2,1
74,0,43,49,30,no,black,yes,not married,no,4,2,0
74,0,49,52,30,no,black,yes,not married,no,4,2,1
75,0,0,12,20,no,black,no,not married,yes,2,4,0
75,0,12,33,20,no,black,no,not married,yes,2,4,1
75,0,33,40,20,no,black,no,not married,yes,2,4,0
75,0,40,52,20,no,black,no,not married,yes,2,4,1
76,0,0,52,43,yes,black,yes,not married,yes,1,4,1
77,0,0,2,23,no,black,yes,married,yes,4,3,1
77,0,2,8,23,no,black,yes,married,yes,4,3,0
77,0,8,26,23,no,black,yes,married,yes,4,3,1
77,1,26,43,23,no,black,yes,married,yes,4,3,0
78,0,0,1,42,no,other,yes,not married,no,2,6,0
78,0,1,52,42,no,other,yes,not married,no,2,6,1
79,0,0,52,21,no,other,no,not married,no,2,3,0
80,1,0,5,19,no,black,no,not married,no,3,3,0
81,1,0,27,29,no,black,no,not married,no,4,3,0
82,0,0,52,30,no,black,yes,not married,yes,3,2,0
83,0,0,28,21,yes,other,yes,married,yes,10,3,0
83,0,28,52,21,yes,other,yes,married,yes,10,3,1
84,0,0,4,20,no,black,no,not married,yes,7,3,0
84,0,4,6,20,no,black,no,not married,yes,7,3,1
84,0,6,52,20,no,black,no,not married,yes,7,3,0
85,0,0,4,19,yes,black,no,not married,yes,10,3,0
85,0,4,11,19,yes,black,no,not married,yes,10,3,1
85,0,11,17,19,yes,black,no,not married,yes,10,3,0
85,0,17,18,19,yes,black,no,not married,yes,10,3,1
85,1,18,22,19,yes,black,no,not married,yes,10,3,0
86,0,0,52,22,yes,black,yes,not married,yes,1,5,0
87,0,0,35,25,no,black,no,not married,yes,3,3,0
87,0,35,39,25,no,black,no,not married,yes,3,3,1
87,0,39,52,25,no,black,no,not married,yes,3,3,0
88,1,0,18,22,no,black,no,not married,no,4,4,1
89,0,0,8,22,yes,black,yes,not married,yes,4,3,0
89,0,8,11,22,yes,black,yes,not married,yes,4,3,1
89,0,11,16,22,yes,black,yes,not married,yes,4,3,0
89,0,16,19,22,yes,black,yes,not married,yes,4,3,1
89,0,19,28,22,yes,black,yes,not married,yes,4,3,0
89,0,28,41,22,yes,black,yes,not married,yes,4,3,1
89,0,41,52,22,yes,black,yes,not married,yes,4,3,0
90,0,0,4,24,yes,black,no,not married,yes,2,4,0
90,0,4,5,24,yes,black,no,not married,yes,2,4,1
90,0,5,9,24,yes,black,no,not married,yes,2,4,0
90,0,9,49,24,yes,black,no,not married,yes,2,4,1
90,0,49,52,24,yes,black,no,not married,yes,2,4,0
91,0,0,52,39,no,black,yes,married,yes,4,3,1
92,0,0,28,21,no,black,yes,not married,yes,1,3,0
92,0,28,33,21,no,black,yes,not married,yes,1,3,1
92,0,33,38,21,no,black,yes,not married,yes,1,3,0
92,0,38,41,21,no,black,yes,not married,yes,1,3,1
92,0,41,43,21,no,black,yes,not married,yes,1,3,0
92,0,43,52,21,no,black,yes,not married,yes,1,3,1
93,0,0,3,20,yes,black,yes,not married,yes,2,3,0
93,0,3,7,20,yes,black,yes,not married,yes,2,3,1
93,0,7,11,20,yes,black,yes,not married,yes,2,3,0
93,0,11,14,20,yes,black,yes,not married,yes,2,3,1
93,0,14,16,20,yes,black,yes,not married,yes,2,3,0
93,0,16,52,20,yes,black,yes,not married,yes,2,3,1
94,0,0,12,24,yes,black,no,not married,no,1,3,0
94,0,12,13,24,yes,black,no,not married,no,1,3,1
94,0,13,16,24,yes,black,no,not married,no,1,3,0
94,0,16,52,24,yes,black,no,not married,no,1,3,1
95,0,0,1,25,no,black,yes,not married,yes,2,6,0
95,0,1,14,25,no,black,yes,not married,yes,2,6,1
95,0,14,52,25,no,black,yes,not married,yes,2,6,0
96,1,0,24,21,yes,black,yes,not married,no,4,3,0
97,0,0,11,20,yes,black,no,not married,yes,1,3,0
97,0,11,12,20,yes,black,no,not married,yes,1,3,1
97,0,12,27,20,yes,black,no,not married,yes,1,3,0
97,0,27,52,20,yes,black,no,not married,yes,1,3,1
98,0,0,21,19,yes,black,no,not married,yes,3,4,0
98,0,21,22,19,yes,black,no,not married,yes,3,4,1
98,0,22,26,19,yes,black,no,not married,yes,3,4,0
98,0,26,27,19,yes,black,no,not married,yes,3,4,1
98,0,27,42,19,yes,black,no,not married,yes,3,4,0
98,0,42,43,19,yes,black,no,not married,yes,3,4,1
98,0,43,52,19,yes,black,no,not married,yes,3,4,0
99,0,0,15,24,yes,black,no,not married,no,2,4,0
99,0,15,16,24,yes,black,no,not married,no,2,4,1
99,0,16,40,24,yes,black,no,not married,no,2,4,0
99,0,40,52,24,yes,black,no,not married,no,2,4,1
100,0,0,4,24,yes,black,yes,not married,yes,1,4,0
100,0,4,9,24,yes,black,yes,not married,yes,1,4,1
100,0,9,14,24,yes,black,yes,not married,yes,1,4,0
100,0,14,52,24,yes,black,yes,not married,yes,1,4,1
101,1,0,2,44,no,black,yes,not married,yes,2,5,0
102,0,0,1,32,no,black,yes,not married,no,2,4,0
102,1,1,26,32,no,black,yes,not married,no,2,4,1
103,0,0,5,23,no,black,yes,not married,no,3,3,0
103,0,5,9,23,no,black,yes,not married,no,3,3,1
103,0,9,20,23,no,black,yes,not married,no,3,3,0
103,0,20,23,23,no,black,yes,not married,no,3,3,1
103,0,23,52,23,no,black,yes,not married,no,3,3,0
104,0,0,17,19,yes,black,no,not married,yes,1,4,0
104,0,17,38,19,yes,black,no,not married,yes,1,4,1
104,1,38,49,19,yes,black,no,not married,yes,1,4,0
105,0,0,50,20,no,black,no,not married,yes,1,3,0
105,0,50,52,20,no,black,no,not married,yes,1,3,1
106,0,0,3,27,no,black,yes,not married,yes,0,3,0
106,0,3,13,27,no,black,yes,not married,yes,0,3,1
106,1,13,21,27,no,black,yes,not married,yes,0,3,0
107,0,0,10,19,no,black,no,not married,no,6,3,0
107,0,10,17,19,no,black,no,not married,no,6,3,1
107,1,17,48,19,no,black,no,not married,no,6,3,0
108,0,0,1,21,yes,black,yes,not married,no,1,3,0
108,0,1,9,21,yes,black,yes,not married,no,1,3,1
108,0,9,18,21,yes,black,yes,not married,no,1,3,0
108,0,18,27,21,yes,black,yes,not married,no,1,3,1
108,0,27,37,21,yes,black,yes,not married,no,1,3,0
108,0,37,52,21,yes,black,yes,not married,no,1,3,1
109,0,0,52,20,no,black,no,not married,yes,1,4,0
110,0,0,12,25,no,black,no,not married,yes,3,2,0
110,0,12,52,25,no,black,no,not married,yes,3,2,1
111,0,0,34,20,no,black,no,not married,yes,6,3,0
111,0,34,47,20,no,black,no,not married,yes,6,3,1
111,0,47,52,20,no,black,no,not married,yes,6,3,0
112,0,0,1,23,yes,black,yes,not married,yes,3,4,0
112,0,1,52,23,yes,black,yes,not married,yes,3,4,1
113,0,0,19,20,no,black,no,not married,no,2,3,0
113,0,19,23,20,no,black,no,not married,no,2,3,1
113,0,23,24,20,no,black,no,not married,no,2,3,0
113,0,24,25,20,no,black,no,not married,no,2,3,1
113,0,25,34,20,no,black,no,not married,no,2,3,0
113,0,34,36,20,no,black,no,not married,no,2,3,1
113,0,36,52,20,no,black,no,not married,no,2,3,0
114,0,0,37,30,yes,black,yes,not married,no,1,4,0
114,0,37,42,30,yes,black,yes,not married,no,1,4,1
114,0,42,52,30,yes,black,yes,not married,no,1,4,0
115,0,0,52,25,no,black,yes,married,yes,0,4,1
116,0,0,40,22,no,black,yes,not married,yes,1,3,1
116,0,40,44,22,no,black,yes,not married,yes,1,3,0
116,0,44,51,22,no,black,yes,not married,yes,1,3,1
116,0,51,52,22,no,black,yes,not married,yes,1,3,0
117,0,0,20,24,no,black,yes,not married,yes,3,3,1
117,0,20,21,24,no,black,yes,not married,yes,3,3,0
117,0,21,52,24,no,black,yes,not married,yes,3,3,1
118,0,0,1,18,yes,black,no,not married,no,4,3,0
118,0,1,52,18,yes,black,no,not married,no,4,3,1
119,1,0,8,40,yes,black,yes,not married,yes,1,5,0
120,0,0,9,22,no,black,no,not married,yes,1,5,0
120,0,9,52,22,no,black,no,not married,yes,1,5,1
121,0,0,52,23,yes,black,no,not married,yes,6,3,0
122,0,0,8,21,no,black,yes,not married,yes,1,3,0
122,0,8,23,21,no,black,yes,not married,yes,1,3,1
122,0,23,31,21,no,black,yes,not married,yes,1,3,0
122,0,31,36,21,no,black,yes,not married,yes,1,3,1
122,0,36,40,21,no,black,yes,not married,yes,1,3,0
122,0,40,41,21,no,black,yes,not married,yes,1,3,1
122,1,41,49,21,no,black,yes,not married,yes,1,3,0
123,0,0,15,24,yes,other,yes,married,yes,2,3,0
123,0,15,16,24,yes,other,yes,married,yes,2,3,1
123,0,16,52,24,yes,other,yes,married,yes,2,3,0
124,0,0,5,24,yes,black,no,not married,yes,14,3,0
124,0,5,12,24,yes,black,no,not married,yes,14,3,1
124,0,12,52,24,yes,black,no,not married,yes,14,3,0
125,0,0,52,38,no,black,yes,not married,yes,2,3,0
126,0,0,50,26,no,other,yes,not married,no,3,3,1
126,0,50,52,26,no,other,yes,not married,no,3,3,0
127,0,0,51,29,yes,black,yes,not married,no,1,3,1
127,0,51,52,29,yes,black,yes,not married,no,1,3,0
128,0,0,52,21,no,black,no,not married,yes,8,3,1
129,0,0,9,21,yes,black,yes,married,yes,2,4,0
129,0,9,10,21,yes,black,yes,married,yes,2,4,1
129,0,10,11,21,yes,black,yes,married,yes,2,4,0
129,0,11,12,21,yes,black,yes,married,yes,2,4,1
129,0,12,18,21,yes,black,yes,married,yes,2,4,0
129,0,18,28,21,yes,black,yes,married,yes,2,4,1
129,0,28,38,21,yes,black,yes,married,yes,2,4,0
129,0,38,40,21,yes,black,yes,married,yes,2,4,1
129,0,40,43,21,yes,black,yes,married,yes,2,4,0
129,0,43,52,21,yes,black,yes,married,yes,2,4,1
130,0,0,11,22,no,other,no,not married,yes,4,3,0
130,0,11,52,22,no,other,no,not married,yes,4,3,1
131,1,0,8,23,no,black,no,not married,yes,5,3,0
132,0,0,12,27,no,black,yes,not married,no,2,4,0
132,0,12,31,27,no,black,yes,not married,no,2,4,1
132,0,31,47,27,no,black,yes,not married,no,2,4,0
132,0,47,52,27,no,black,yes,not married,no,2,4,1
133,0,0,52,18,yes,black,no,not married,yes,2,3,0
134,0,0,5,23,no,black,no,not married,no,5,3,0
134,0,5,12,23,no,black,no,not married,no,5,3,1
134,1,12,13,23,no,black,no,not married,no,5,3,0
135,0,0,4,24,yes,black,no,not married,yes,2,3,0
135,0,4,52,24,yes,black,no,not married,yes,2,3,1
136,0,0,26,21,yes,black,no,not married,no,3,4,0
136,0,26,52,21,yes,black,no,not married,no,3,4,1
137,0,0,1,20,yes,black,no,not married,yes,4,2,0
137,0,1,5,20,yes,black,no,not married,yes,4,2,1
137,0,5,9,20,yes,black,no,not married,yes,4,2,0
137,0,9,10,20,yes,black,no,not married,yes,4,2,1
137,0,10,52,20,yes,black,no,not married,yes,4,2,0
138,0,0,7,27,yes,black,yes,not married,no,4,3,1
138,0,7,10,27,yes,black,yes,not married,no,4,3,0
138,0,10,28,27,yes,black,yes,not married,no,4,3,1
138,0,28,51,27,yes,black,yes,not married,no,4,3,0
138,0,51,52,27,yes,black,yes,not married,no,4,3,1
139,0,0,2,20,yes,black,no,not married,yes,11,4,0
139,0,2,4,20,yes,black,no,not married,yes,11,4,1
139,1,4,8,20,yes,black,no,not married,yes,11,4,0
140,0,0,1,29,yes,black,yes,married,yes,5,4,1
140,0,1,3,29,yes,black,yes,married,yes,5,4,0
140,0,3,7,29,yes,black,yes,married,yes,5,4,1
140,0,7,9,29,yes,black,yes,married,yes,5,4,0
140,0,9,26,29,yes,black,yes,married,yes,5,4,1
140,0,26,33,29,yes,black,yes,married,yes,5,4,0
140,0,33,43,29,yes,black,yes,married,yes,5,4,1
140,0,43,52,29,yes,black,yes,married,yes,5,4,0
141,0,0,7,19,no,black,no,not married,no,10,4,0
141,0,7,31,19,no,black,no,not married,no,10,4,1
141,1,31,33,19,no,black,no,not married,no,10,4,0
142,0,0,3,20,no,black,no,not married,no,8,3,0
142,0,3,7,20,no,black,no,not married,no,8,3,1
142,0,7,14,20,no,black,no,not married,no,8,3,0
142,0,14,16,20,no,black,no,not married,no,8,3,1
142,0,16,52,20,no,black,no,not married,no,8,3,0
143,0,0,4,18,yes,black,no,not married,yes,0,3,0
143,0,4,9,18,yes,black,no,not married,yes,0,3,1
143,0,9,28,18,yes,black,no,not married,yes,0,3,0
143,0,28,31,18,yes,black,no,not married,yes,0,3,1
143,0,31,52,18,yes,black,no,not married,yes,0,3,0
144,1,0,11,19,yes,black,no,not married,yes,2,3,0
145,0,0,3,24,yes,black,yes,not married,yes,1,5,0
145,0,3,52,24,yes,black,yes,not married,yes,1,5,1
146,0,0,3,28,no,other,yes,not married,yes,4,3,0
146,0,3,18,28,no,other,yes,not married,yes,4,3,1
146,0,18,52,28,no,other,yes,not married,yes,4,3,0
147,0,0,52,26,yes,black,no,not married,no,4,3,0
148,0,0,2,17,yes,black,no,not married,yes,0,3,1
148,0,2,52,17,yes,black,no,not married,yes,0,3,0
149,0,0,45,21,no,black,no,not married,yes,3,3,0
149,0,45,52,21,no,black,no,not married,yes,3,3,1
150,0,0,6,34,no,black,yes,not married,no,2,3,0
150,0,6,17,34,no,black,yes,not married,no,2,3,1
150,0,17,22,34,no,black,yes,not married,no,2,3,0
150,0,22,32,34,no,black,yes,not married,no,2,3,1
